,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),52-Week Change,S&P500 52-Week Change,52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,"Shares Short (Jan 31, 2019)","Short Ratio (Jan 31, 2019)","Short % of Float (Jan 31, 2019)","Short % of Shares Outstanding (Jan 31, 2019)","Shares Short (prior month Dec 31, 2018)",Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Last Split Factor (new per old),Last Split Date
A,24950000000.0,24250000000.0,80.99,23.24,2.45,5.08,5.47,4.93,20.48,2018-10-31 00:00:00,2018-10-31 00:00:00,0.0643,0.1982,0.0718,0.0672,4910000000.0,15.31,0.08800000000000001,2690000000.0,1180000000.0,316000000.0,0.97,0.102,2250000000.0,7.05,1800000000.0,39.36,3.29,14.38,1090000000.0,673880000.0,1.23,0.0968,0.027999999999999997,78.79,60.42,72.66,68.72,2310000.0,1820000.0,317620000.0,317690000.0,0.0036,0.8937,4160000.0,2.0,0.0132,0.0131,4570000.0,0.66,0.0085,0.6,0.0077,0.96,0.6144,2019-01-23 00:00:00,2018-12-28 00:00:00,0.7153075822603719,2014-11-03 00:00:00
AA,5450000000.0,7960000000.0,24.37,9.56,3.78,0.41,1.0,0.59,2.67,2018-12-31 00:00:00,2018-12-31 00:00:00,0.0169,0.16760000000000005,0.08410000000000001,0.1227,13400000000.0,71.97,0.054000000000000006,3320000000.0,2980000000.0,227000000.0,1.2,,1110000000.0,6.02,1800000000.0,24.37,1.42,29.15,448000000.0,1240000000.0,1.43,-0.4124,0.027999999999999997,62.35,25.01,28.46,34.96,3900000.0,3440000.0,186490000.0,184230000.0,0.0626,0.0,4930000.0,1.06,0.0265,0.0267,5470000.0,,,0.36,0.0128,,0.0,2016-11-25 00:00:00,,1.2484394506866416,2016-11-01 00:00:00
AABA,41820000000.0,59770000000.0,2.46,,,157.19,0.89,224.67,329.34,2017-12-31 00:00:00,2018-06-30 00:00:00,84.87950000000002,0.6822,0.0014000000000000002,0.4072,266050000.0,0.33,,54460000.0,181490000.0,22580000000.0,28.21,,2960000.0,0.0,4450000000.0,7.11,1.95,78.23,3730000000.0,,1.53,-0.0849,0.027999999999999997,82.45,54.75,65.06,64.42,7140000.0,5140000.0,602600000.0,719900000.0,0.1035,0.7340000000000001,21220000.0,2.7,0.0389,0.0352,19100000.0,,,,,,0.0,,,0.5,2004-05-12 00:00:00
AAC,76760000.0,377500000.0,,44.57,-3.71,0.24,0.53,1.19,12.08,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.1057,0.0269,0.0115,-0.2877,317330000.0,13.29,0.095,107310000.0,31240000.0,-33530000.0,-1.4,,5260000.0,0.21,330060000.0,264.7,2.16,5.89,-14500000.0,4540000.0,2.05,-0.6681999999999999,0.027999999999999997,12.96,1.33,2.51,4.93,346850.0,219050.0,24600000.0,12470000.0,0.4894,0.5278,2660000.0,7.93,0.2023,0.10800000000000001,2320000.0,,,,,,0.0,,,100.0,2013-03-20 00:00:00
AAL,16149999999.999996,45860000000.0,11.57,5.56,0.32,0.36,,1.03,8.18,2018-12-31 00:00:00,2018-12-31 00:00:00,0.0317,0.07730000000000001,0.0384,0.7517,44540000000.0,95.94,0.032,11890000000.0,5610000000.0,1410000000.0,3.03,0.23600000000000002,4760000000.0,10.34,34290000000.0,,0.48,-0.37,,,1.68,-0.3305,0.027999999999999997,57.44,28.81,34.34,36.12,8490000.0,6610000.0,460580000.0,412480000.0,0.3998,0.1277,25460000.0,2.57,0.0735,0.0553,26230000.0,0.4,0.0113,0.4,0.0113,,0.132,2019-02-20 00:00:00,2019-02-05 00:00:00,['1' '0'],2013-12-09 00:00:00
AAMC,55490000.0,257090000.0,,,,3.68,,17.07,-37.57,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.5558,-0.489,-0.081,-0.1646,15060000.0,9.38,-0.11599999999999999,-2090000.0,-6840000.0,-8580000.0,-5.34,,48100000.0,29.45,,,9.7,-124.1,-390000.0,1310000.0,-0.18,-0.4985,0.027999999999999997,73.5,22.6,29.31,47.34,6380.0,6770.0,1630000.0,652970.0,0.4961,0.3354,31370.0,4.01,0.06150000000000001,0.0192,32800.0,,,,,,0.0,,,,
AAME,53120000.0,79100000.0,43.11,,,0.29,0.52,0.43,16.98,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0088,0.0194,0.0067,0.0155,185180000.0,9.1,0.035,47170000.0,4660000.0,1240000.0,0.06,0.25,10040000.0,0.5,33740000.0,33.04,1.16,5.05,-1400000.0,7310000.0,0.73,-0.2075,0.027999999999999997,3.8,2.2,2.65,2.71,3380.0,1370.0,20200000.0,5640000.0,0.8029000000000001,0.052300000000000006,7120.0,2.04,0.0017,0.0004,11750.0,0.02,0.0073,0.02,0.0073,0.56,0.3333,2018-04-23 00:00:00,2018-04-12 00:00:00,0.8,1986-11-04 00:00:00
AAN,3610000000.0,3970000000.0,19.32,12.38,1.18,0.94,2.05,1.04,7.07,2018-12-31 00:00:00,2018-12-31 00:00:00,0.0512,0.1259,0.1092,0.1125,3830000000.0,55.39,0.12300000000000001,1910000000.0,562260000.0,196210000.0,2.78,-0.652,15280000.0,0.23,424750000.0,24.12,0.79,26.21,356500000.0,2150000000.0,1.1,0.1918,0.027999999999999997,56.0,38.77,48.53,48.52,613840.0,955970.0,67200000.0,66269999.99999999,0.0084,1.0548,4780000.0,10.12,0.0771,0.0696,5000000.0,0.14,0.0026,0.12,0.0024,0.3,0.0276,2019-01-07 00:00:00,2018-12-19 00:00:00,1.0,2010-04-16 00:00:00
AAOI,289260000.0,304360000.0,24.31,13.53,1.12,1.0,0.86,1.05,7.67,2017-12-31 00:00:00,2018-09-30 00:00:00,0.042,0.0409,0.0161,0.0368,289300000.0,14.8,-0.366,166280000.0,39690000.0,12140000.0,0.6,,62400000.0,3.15,71170000.0,21.21,2.6,16.98,52410000.0,-31260000.0,2.04,-0.4573,0.027999999999999997,50.3,13.42,16.19,24.04,703280.0,1100000.0,19800000.0,18720000.0,0.0584,0.6241,5550000.0,10.13,0.34240000000000004,0.2805,6350000.0,,,,,,0.0,,,,
AAON,2130000000.0,2040000000.0,46.92,30.05,3.82,5.0,8.55,4.8,27.47,2017-12-31 00:00:00,2018-09-30 00:00:00,0.1076,0.1353,0.1167,0.1909,425770000.0,8.13,-0.006,123400000.0,74460000.0,45810000.0,0.87,-0.043,10680000.0,0.2,,,2.69,4.78,60320000.0,-6310000.0,0.72,0.1584,0.027999999999999997,44.9,29.05,36.83,37.35,137440.0,124080.0,52090000.0,40440000.0,0.2206,0.7436,4480000.0,38.54,0.1093,0.0859,4330000.0,0.32,0.0083,0.29,0.0072,0.78,0.3333,2018-12-20 00:00:00,2018-11-28 00:00:00,0.666666666667,2014-07-17 00:00:00
AAP,12100000000.0,12330000000.0,28.97,20.34,1.17,1.26,3.41,1.29,12.98,2018-12-29 00:00:00,2018-12-29 00:00:00,0.0442,0.07429999999999999,0.0508,0.1217,9580000000.0,129.95,0.033,4230000000.000001,950330000.0,423850000.0,5.73,-0.71,896530000.0,12.3,1050000000.0,29.45,1.57,48.7,811030000.0,582180000.0,1.3,0.5127,0.027999999999999997,186.15,102.15,161.86,164.41,1190000.0,1460000.0,72890000.0,72600000.0,0.003,0.9972,3090000.0,2.28,0.0437,0.0424,3200000.0,0.24,0.0014000000000000002,0.24,0.0014000000000000002,0.17,0.04190000000000002,2019-01-04 00:00:00,2018-12-20 00:00:00,0.666666666667,2005-09-26 00:00:00
AAPL,811170000000.0,834290000000.0,14.19,13.5,1.15,3.1,6.9,3.19,10.49,2018-09-29 00:00:00,2018-12-29 00:00:00,0.2272,0.25980000000000003,0.1089,0.4605,261610000000.0,53.82,-0.045,101840000000.0,79520000000.0,59430000000.0,12.12,-0.005,86430000000.0,18.33,114730000000.0,97.32,1.3,24.92,75830000000.0,45140000000.0,0.99,-0.0091,0.027999999999999997,233.47,142.0,160.23,192.64,38990000.0,21870000.0,4720000000.0,4460000000.0,0.0007000000000000001,0.6115999999999999,40360000.0,1.03,0.0085,0.0086,45280000.0,2.92,0.0171,2.82,0.0165,1.71,0.2311,2019-02-14 00:00:00,2019-02-08 00:00:00,0.142857142857,2014-06-09 00:00:00
AAT,2810000000.0,3330000000.0,104.06,85.49,48.94,8.5,2.57,10.06,17.39,2018-12-31 00:00:00,2018-12-31 00:00:00,0.0595,0.2404,0.0223,0.033,330870000.0,7.05,0.026000000000000002,209410000.0,191310000.0,19690000.0,0.42,-0.057,47960000.0,1.01,1290000000.0,160.85,2.28,16.96,,,0.49,0.34630000000000005,0.027999999999999997,44.46,30.62,41.88,39.56,220820.0,194430.0,47330000.0,40680000.0,0.2722,0.0,676070.0,3.2,0.124,0.0143,865460.0,1.12,0.0256,1.09,0.0248,2.51,2.5952,2019-03-28 00:00:00,2019-03-13 00:00:00,,
AAU,81350000.0,84510000.0,,,,,1.49,,,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0,0.0,-0.045,-0.061,,,,,,,-0.03,,,,,,9.02,0.49,,,-0.66,-0.1681,0.027999999999999997,0.93,0.48,0.747,0.6302,211070.0,161280.0,111640000.0,96920000.0,,,1790000.0,7.14,0.0184,0.016,1800000.0,,,,,,0.0,,,,
AAWW,1540000000.0,3690000000.0,5.87,8.16,0.77,0.61,0.83,1.45,7.26,2017-12-31 00:00:00,2018-09-30 00:00:00,0.1059,0.10800000000000001,0.0338,0.157,2540000000.0,99.78,0.226,726610000.0,508800000.0,269100000.0,10.27,,233470000.0,9.12,2540000000.0,137.0,0.73,72.36,400740000.0,-413500000.0,1.73,-0.0842,0.027999999999999997,75.29,35.59,50.1,54.1,308280.0,370330.0,25590000.0,25030000.0,0.022000000000000002,1.0713,2370000.0,8.64,0.1083,0.0927,2140000.0,,,,,,0.0,,,0.666666666667,1999-02-09 00:00:00
AAXJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAXN,3290000000.0,2940000000.0,127.85,60.87,2.4,8.23,7.12,7.34,66.62,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0626,0.08380000000000001,0.0415,0.0801,399930000.0,7.27,0.161,207090000.0,44090000.0,25050000.0,0.44,12.533,324870000.0,5.56,,,3.71,7.87,56980000.0,10450000.0,0.59,0.9798,0.027999999999999997,76.45,27.19,50.34,55.64,637720.0,381250.0,58810000.0,57120000.0,0.022400000000000003,0.7972,4860000.0,8.92,0.1126,0.08259999999999999,5020000.0,,,,,,0.0,,,0.5,2004-11-30 00:00:00
AB,2920000000.0,2920000000.0,12.12,11.45,11.67,10.8,1.96,10.77,,2018-12-31 00:00:00,2018-12-31 00:00:00,0.8956,1.0,0.1115,0.1598,270650000.0,2.79,-0.221,270650000.0,,242400000.0,2.5,-0.23800000000000002,,,,,,15.42,279280000.0,,1.22,0.115,0.027999999999999997,31.42,23.34,29.55,29.34,513730.0,562030.0,96560000.0,90830000.0,0.0475,0.1857,1460000.0,2.8,,0.0151,1100000.0,2.56,0.0849,2.68,0.0889,7.93,1.1520000000000001,2019-03-07 00:00:00,2019-02-22 00:00:00,0.5,1998-04-03 00:00:00
ABB,43140000000.0,48850000000.0,19.28,13.51,2.46,1.2,3.06,1.36,10.18,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0624,0.1031,0.0534,0.16140000000000002,36050000000.0,16.9,0.061,10350000000.0,4800000000.0,2250000000.0,1.05,0.055999999999999994,3560000000.0,1.67,9520000000.0,64.98,1.18,6.62,2930000000.0,1600000000.0,1.06,-0.2056,0.027999999999999997,25.31,18.05,19.32,20.93,2930000.0,3240000.0,2130000000.0,1780000000.0,0.0,0.0446,1980000.0,1.23,,0.0016,1820000.0,0.83,0.0416,0.8,0.0403,2.89,0.7867000000000001,2018-05-15 00:00:00,2018-04-04 00:00:00,0.25,2001-03-29 00:00:00
ABBV,120320000000.0,153550000000.0,21.86,8.47,0.98,3.67,,4.69,10.97,2018-12-31 00:00:00,2018-12-31 00:00:00,0.1736,0.3734,,5.227,32750000000.0,21.19,0.073,25040000000.0,13990000000.0,5690000000.0,3.66,,8790000000.0,5.84,41220000000.0,,,-1.94,,,0.97,-0.3151,0.027999999999999997,122.0,75.77,83.61,89.07,6900000.0,5180000.0,1500000000.0,1500000000.0,0.0007000000000000001,0.7098,25310000.0,2.98,0.0182,0.0168,29760000.0,4.28,0.0532,3.95,0.049100000000000005,3.27,0.9809,2019-02-15 00:00:00,2019-01-14 00:00:00,,
ABC,18220000000.0,20580000000.0,15.84,11.71,1.35,0.11,5.98,0.12,9.53,2018-09-30 00:00:00,2018-12-31 00:00:00,0.0069,0.0094,0.027000000000000003,0.3794,172870000000.0,799.18,0.122,4580000000.0,2160000000.0,1190000000.0,5.45,-0.5429999999999999,2540000000.0,12.03,4670000000.0,147.65,0.94,14.45,1880000000.0,945800000.0,1.41,-0.1057,0.027999999999999997,101.56,69.36,80.43,85.16,1450000.0,1050000.0,211090000.0,153740000.0,0.2713,0.6805,5210000.0,3.45,0.0336,0.024700000000000003,4550000.0,1.6,0.0184,1.54,0.0177,1.47,0.2815,2019-03-04 00:00:00,2019-02-15 00:00:00,0.5,2009-06-16 00:00:00
ABCB,1930000000.0,1450000000.0,14.62,8.65,1.17,4.35,1.33,3.25,,2018-12-31 00:00:00,2018-12-31 00:00:00,0.2725,0.4087,0.0125,0.1071,444100000.0,10.29,0.397,444100000.0,,121030000.0,2.8,3.758,690340000.0,14.62,261340000.0,,,30.84,,,1.84,-0.245,0.027999999999999997,59.05,29.97,36.43,41.99,434210.0,359930.0,47220000.0,46090000.0,0.0264,0.8538,1500000.0,3.51,0.0463,0.0316,1230000.0,0.4,0.0104,0.4,0.0098,,0.1429,2019-01-10 00:00:00,2018-12-28 00:00:00,1.0,2010-06-28 00:00:00
ABDC,95430000.0,199660000.0,,8.4,,3.16,0.64,6.61,,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.2977,0.7529,0.0503,-0.0554,30190000.0,2.17,-0.139,33350000.0,,-8990000.0,-0.64,,7790000.0,0.58,108510000.0,72.43,1.41,11.08,28060000.0,9510000.0,0.51,-0.0427,0.027999999999999997,7.86,5.58,7.07,6.43,55750.0,17770.0,13520000.0,,,,23830.0,0.53,0.0018,0.0018,10850.0,0.72,0.0976,0.79,0.11,,,2019-01-03 00:00:00,2018-12-28 00:00:00,,
ABEO,314040000.0,208050000.0,,-4.89,,58.8,2.09,38.95,-4.61,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0,-8.668,-0.2258,-0.3751,5340000.0,0.11,6.803999999999999,837000.0,-45180000.0,-45030000.0,-0.96,,112220000.0,2.34,,,11.09,3.13,-27470000.0,-20870000.0,1.07,-0.4996,0.027999999999999997,22.0,6.26,6.94,9.8,552530.0,335950.0,47940000.0,29250000.0,0.3345,0.6877,8199999.999999999,22.72,0.3105,0.1711,9100000.0,,,,,,0.0,,,50.0,2014-10-24 00:00:00
ABEV,75790000000.0,77810000000.0,27.44,21.0,1.43,,4.89,,,2017-12-31 00:00:00,2018-09-30 00:00:00,0.21899999999999997,0.0,0.11900000000000001,0.2058,,,-0.026000000000000002,29860000000.0,,,0.18,14155.0,,,,8.34,1.02,0.99,,,0.98,-0.2845,0.027999999999999997,7.43,3.77,4.7,4.49,27450000.0,40320000.0,15720000000.0,4390000000.0,0.0002,0.0774,25730000.0,0.95,,0.0017,13560000.0,0.24,0.0484,0.14,0.0291,2.22,0.812,2019-01-07 00:00:00,2018-12-19 00:00:00,0.2,2013-11-11 00:00:00
ABG,1430000000.0,3190000000.0,8.81,8.17,0.48,0.21,3.05,0.46,9.15,2018-12-31 00:00:00,2018-12-31 00:00:00,0.0244,0.0458,,0.3839,6870000000.0,342.01,0.068,1100000000.0,348200000.0,168000000.0,8.28,-0.049,7100000.0,0.36,1780000000.0,370.69,,23.92,,,1.04,0.0473,0.027999999999999997,77.75,58.6,70.11,69.08,230840.0,168030.0,19600000.0,17330000.0,0.022400000000000003,1.0853,1770000.0,8.45,0.0981,0.0902,1820000.0,,,,,,0.0,2008-08-22 00:00:00,2008-07-30 00:00:00,2.0,2009-06-16 00:00:00
ABIL,13290000.0,4440000.0,,,,5.59,,1.87,-0.47,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0,-4.1903,-0.316,,2380000.0,0.93,-0.873,15000.0,-9490000.0,-8000000.0,-3.14,,3390000.0,1.03,1520000.0,,0.76,-1.4,-4470000.0,-2630000.0,0.82,3.9217,0.027999999999999997,14.55,0.32,2.0,2.97,1310000.0,110470.0,6960000.0,2130000.0,0.3319,0.0892,108680.0,0.12,0.1193,0.0297,34260.0,,,,,,0.0,,,10.0,2018-03-23 00:00:00
ABIO,7070000.0,-2670000.0,,,,,0.95,,0.25,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0,0.0,-0.5365,-0.9756,,,,,-10800000.0,-10640000.0,-0.799,,8060000.000000001,0.58,,,8.58,0.54,-11100000.0,-7880000.0,2.95,-0.7503,0.027999999999999997,1.7,0.26,0.39799999999999996,0.535,140980.0,146800.0,13920000.0,12940000.0,0.0117,0.1542,363670.0,3.56,0.0264,0.0261,373730.0,,,,,,0.0,,,7.0,2015-09-04 00:00:00
ABM,2430000000.0,3290000000.0,24.86,16.32,1.14,0.38,1.67,0.51,10.85,2018-10-31 00:00:00,2018-10-31 00:00:00,0.0152,0.0296,0.0321,0.0678,6440000000.0,97.46,0.10099999999999999,694800000.0,303300000.0,96000000.0,1.48,,39100000.0,0.59,939000000.0,64.55,1.48,22.04,320900000.0,219440000.0,0.51,0.0058,0.027999999999999997,38.37,25.64,34.48,32.07,693540.0,337170.0,66209999.99999999,60860000.0,0.0096,1.0594,6530000.0,7.85,,0.0989,7440000.0,0.72,0.02,0.7,0.0193,1.98,0.4828,2019-02-04 00:00:00,2019-01-02 00:00:00,0.5,2002-05-07 00:00:00
ABMD,16329999999.999996,15740000000.0,75.34,73.03,2.46,22.17,19.17,21.37,71.57,2018-03-31 00:00:00,2018-12-31 00:00:00,0.3012,0.2811,0.15439999999999998,0.2991,736790000.0,16.48,0.302,495170000.0,219990000.0,221900000.0,4.81,2.336,458160000.0,10.16,,,6.76,18.9,238200000.0,118090000.0,1.47,0.3614,0.027999999999999997,459.75,258.1,336.95,356.71,544330.0,345920.0,45090000.0,44210000.0,0.0412,0.9118,1060000.0,1.98,,0.0234,1050000.0,,,,,,0.0,,,0.5,2000-10-02 00:00:00
ABR,1350000000.0,4540000000.0,8.48,10.6,1.31,4.5,1.33,15.14,,2018-12-31 00:00:00,2018-12-31 00:00:00,0.3867,0.589,0.0359,0.1534,299660000.0,4.27,24.585,257560000.0,,108310000.0,1.5,0.6459999999999999,166180000.0,1.95,3390000000.0,318.54,5.46,9.59,-37730000.0,,0.6,0.5307,0.027999999999999997,12.79,8.3,11.52,11.64,1270000.0,1290000.0,85360000.0,73780000.0,0.2132,0.5093,7240000.0,7.75,0.13570000000000002,0.08410000000000001,6990000.0,1.08,0.0911,1.04,0.0818,8.09,0.6522,2019-03-20 00:00:00,2018-12-27 00:00:00,0.1,2012-08-30 00:00:00
ABT,132669999999.99995,148200000000.0,56.84,20.98,2.18,4.34,4.32,4.85,19.17,2018-12-31 00:00:00,2018-12-31 00:00:00,0.0774,0.1431,,0.0753,30580000000.0,17.28,0.023,18150000000.0,7730000000.0,2330000000.0,1.33,,7550000000.0,4.3,23830000000.0,77.12,,17.48,,,0.87,0.27140000000000003,0.027999999999999997,75.57,56.81,71.25,69.6,6910000.0,5830000.0,1760000000.0,1740000000.0,0.0071,0.7648999999999999,15210000.0,2.04,0.0089,0.0087,18720000.0,1.28,0.0171,1.16,0.0155,2.05,0.855,2019-02-15 00:00:00,2019-01-14 00:00:00,0.4798,2013-01-02 00:00:00
ABTX,851190000.0,855540000.0,16.37,12.24,,6.45,1.21,6.48,,2018-12-31 00:00:00,2018-12-31 00:00:00,0.2825,0.3865,0.0099,0.0739,132040000.0,8.53,0.669,132040000.0,,37310000.0,2.37,3.108,268950000.0,12.26,274390000.0,,,32.04,,,1.38,0.0062,0.027999999999999997,46.85,28.58,36.18,39.0,72550.0,75330.0,21940000.0,20000000.0,0.0901,0.3058,433660.0,6.96,0.037000000000000005,0.0199,395220.0,,,,,,0.0,,,,
ABUS,202020000.0,196170000.0,,-2.56,,29.7,2.2,28.84,-2.91,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0,-10.2642,-0.17980000000000002,-0.3906,6800000.0,0.12,-0.77,-51980000.0,-67510000.0,-83100000.0,-1.51,,142020000.0,2.56,,,11.37,1.65,-61130000.0,-30510000.0,2.25,-0.28190000000000004,0.027999999999999997,12.6,3.2,3.79,5.97,196270.0,110030.0,55500000.0,27700000.0,0.4134000000000001,0.4381,961830.0,3.96,0.0276,0.0173,1190000.0,,,,,,0.0,,,5.0,2010-11-04 00:00:00
AC,944950000.0,591740000.0,,,,41.48,1.09,25.98,-43.96,2018-12-31 00:00:00,2018-12-31 00:00:00,-2.5505,-0.5918,-0.0086,-0.0614,22780000.0,0.99,-0.256,-3160000.0,-13460000.0,-58100000.0,-2.52,,409560000.0,18.13,,,19.45,38.35,,,1.1,0.1943,0.027999999999999997,46.86,32.59,40.26,39.55,12790.0,6850.0,3530000.0,3440000.0,0.0029,0.3631,214210.0,23.58,0.0832,0.0095,228480.0,0.2,0.004699999999999999,0.2,0.0048,,,2019-01-09 00:00:00,2018-12-24 00:00:00,,
ACA,1570000000.0,1520000000.0,21.94,17.6,1.32,1.1,1.12,1.06,8.57,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0499,0.0772,,,1430000000.0,29.4,0.035,294700000.0,177800000.0,71600000.0,1.47,-0.845,10400000.0,0.21,400000.0,0.03,2.64,28.77,146200000.0,,,?%,0.027999999999999997,34.92,22.94,29.49,28.4,345200.0,307420.0,48770000.0,41310000.0,0.0002,0.8068000000000001,1030000.0,3.69,0.0211,0.021,1210000.0,0.2,0.0067,,,,0.0,2019-01-31 00:00:00,2019-01-14 00:00:00,,
ACAD,3280000000.0,2690000000.0,,-13.27,-0.78,15.77,12.77,12.96,-10.9,2017-12-31 00:00:00,2018-09-30 00:00:00,-1.1962,-1.2039,-0.4598,-0.8275,207800000.0,1.67,0.639,-37350000.0,-247250000.0,-248570000.0,-1.99,,214140000.0,1.71,,,6.08,1.79,-158390000.0,-70810000.0,3.19,-0.2401,0.027999999999999997,32.53,12.77,21.23,18.68,1910000.0,1420000.0,143630000.0,90280000.0,0.003,0.9952,11190000.0,6.36,0.1421,0.0895,12120000.0,,,,,,0.0,,,,
ACB,7030000000.0,6920000000.0,32.73,,,,2.06,,,2018-06-30 00:00:00,2018-12-31 00:00:00,-0.6015,0.0,-0.0526,-0.0317,,,3.6310000000000002,43520000.0,,,0.22,,,,,8.08,3.31,3.44,,,2.29,-0.1809,0.027999999999999997,12.52,4.05,6.68,6.91,19310000.0,25050000.0,965110000.0,961540000.0,0.0309,0.1166,71030000.0,3.35,,0.07150000000000001,86730000.0,,,,,,0.0,,,,
ACBI,496960000.0,270430000.0,18.06,13.28,1.02,5.89,1.54,3.21,,2018-12-31 00:00:00,2018-12-31 00:00:00,0.3383,0.414,0.0096,0.08869999999999999,84350000.0,3.25,-0.15,84350000.0,,28050000.0,1.09,,268390000.0,10.61,49700000.0,,,12.8,,,0.94,0.1282,0.027999999999999997,21.6,14.44,18.27,17.34,126540.0,86070.0,25290000.0,24350000.0,0.0332,0.8389,370120.0,2.98,0.0173,0.0146,306370.0,,,,,,0.0,,,,
ACC,6130000000.0,9430000000.0,56.95,62.8,3.43,7.11,1.75,10.93,22.1,2017-12-31 00:00:00,2018-09-30 00:00:00,0.126,0.1893,0.0149,0.0296,862500000.0,6.31,0.084,424200000.0,426560000.0,107040000.0,0.78,,50800000.0,0.37,2970000000.0,79.36,1.57,25.55,341200000.0,281330000.0,0.5,0.242,0.027999999999999997,46.4,35.5,44.09,42.2,848660.0,1170000.0,137030000.0,135950000.0,0.008,1.0345,2230000.0,2.75,0.0251,0.0163,2340000.0,1.84,0.0406,1.8,0.0395,3.85,2.2785,2019-02-15 00:00:00,2019-01-31 00:00:00,,
ACCO,958560000.0,1760000000.0,9.33,7.18,0.8,0.49,1.21,0.91,6.22,2018-12-31 00:00:00,2018-12-31 00:00:00,0.055,0.1096,0.0476,0.1365,1940000000.0,18.52,-0.066,,283400000.0,106700000.0,1.0,-0.527,67000000.0,0.65,882500000.0,111.75,1.47,7.69,194800000.0,158690000.0,1.94,-0.3083,0.027999999999999997,14.63,6.07,8.6,9.61,675240.0,769180.0,102740000.0,100150000.0,0.0217,0.9376,1800000.0,2.56,0.0172,0.0176,1790000.0,0.24,0.0268,0.24,0.0263,,0.1353,2019-03-26 00:00:00,2019-03-14 00:00:00,0.666666666667,1989-09-01 00:00:00
ACER,239060000.0,192270000.0,,-11.71,,,4.5,,-11.18,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0,0.0,-0.2979,-0.5009,,,,,-17200000.0,-17000000.0,-2.21,,46190000.0,4.59,,,21.96,5.28,-16200000.0,-10080000.0,3.13,0.3188,0.027999999999999997,34.1,16.02,23.72,25.22,28720.0,36680.0,10050000.0,3460000.0,0.2421,0.5991,134950.0,5.24,0.0421,0.0134,113420.0,,,,,,0.0,,,10.0,2017-09-21 00:00:00
ACET,10880000.0,296720000.0,,,,0.02,0.15,0.43,-433.8,2018-06-30 00:00:00,2018-09-30 00:00:00,-0.489,-0.0481,-0.0232,-1.3982,690510000.0,19.54,-0.113,111560000.0,-684000.0,-337670000.0,-9.554,,52500000.0,1.71,315380000.0,427.57,1.55,2.39,11410000.0,39130000.0,3.42,-0.8571,0.027999999999999997,7.86,0.345,1.2633,2.0434,318880.0,591020.0,30800000.0,28410000.0,0.07690000000000001,0.3652,332130.0,1.4,0.011000000000000001,0.0108,336470.0,0.04,0.032,0.09,0.0922,2.65,,2018-10-09 00:00:00,2018-09-21 00:00:00,0.666666666667,2005-01-11 00:00:00
ACGL,13110000000.0,15270000000.0,18.67,11.88,1.25,2.41,1.5,2.8,14.98,2018-12-31 00:00:00,2018-12-31 00:00:00,0.1391,0.1675,0.0178,0.0704,5450000000.0,13.48,-0.049,1760000000.0,1020000000.0,713620000.0,1.73,-0.364,1640000000.0,4.08,2460000000.0,23.6,2.05,21.53,1560000000.0,-2240000000.0,0.85,0.094,0.027999999999999997,32.35,24.79,28.8,28.7,1100000.0,1570000.0,405940000.0,355610000.0,0.0318,0.9209999999999999,3620000.0,3.85,0.0105,0.009000000000000001,3310000.0,,,,,,0.0,,,0.333333333333,2018-06-21 00:00:00
