,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),52-Week Change,S&P500 52-Week Change,52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,"Shares Short (Jan 31, 2019)","Short Ratio (Jan 31, 2019)","Short % of Float (Jan 31, 2019)","Short % of Shares Outstanding (Jan 31, 2019)","Shares Short (prior month Dec 31, 2018)",Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Last Split Factor (new per old),Last Split Date
BMRN,16140000000.0,16110000000.0,,-3022.0,-3.06,10.79,5.53,10.77,-346.87,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.0835,-0.0937,-0.0189,-0.0436,1500000000.0,8.48,0.172,461110000.0,-46450000.0,-124950000.0,-0.71,,1440000000.0,8.11,1200000000.0,41.18,2.87,16.39,-14550000.0,32480000.0,1.36,0.0935,0.027999999999999997,106.74,75.81,93.88,96.07,896530.0,861050.0,178060000.0,177060000.0,0.0043,1.044,9310000.0,9.79,0.0604,0.052300000000000006,9870000.0,,,,,,0.0,,,,
BMS,4850000000.0,6110000000.0,21.54,16.79,2.1,1.19,3.98,1.5,10.7,2018-12-31 00:00:00,2018-12-31 00:00:00,0.0552,0.0987,0.0694,0.1867,4090000000.0,44.94,-0.001,805100000.0,571200000.0,225700000.0,2.47,,76100000.0,0.83,1360000000.0,112.12,1.76,13.36,461500000.0,300390000.0,0.74,0.1766,0.027999999999999997,53.41,40.86,48.67,47.94,563420.0,535530.0,91170000.0,90240000.0,0.0099,0.7495999999999999,4250000.0,8.27,0.0471,0.0467,4340000.0,1.28,0.0245,1.24,0.0234,2.53,0.5254,2019-03-01 00:00:00,2019-02-19 00:00:00,0.5,2004-03-02 00:00:00
BMTC,818250000.0,1170000000.0,12.96,11.66,1.76,3.75,1.45,5.38,,2018-12-31 00:00:00,2018-12-31 00:00:00,0.2923,0.4096,0.013999999999999999,0.1168,218260000.0,10.79,0.2,218260000.0,,63790000.0,3.13,,55960000.0,2.77,427850000.0,,,27.95,,,1.15,-0.0991,0.027999999999999997,50.35,32.84,37.42,41.54,67450.0,43680.0,20160000.0,19880000.0,0.0172,0.84,243380.0,3.98,0.0122,0.0121,169120.0,1.0,0.0258,0.94,0.0233,2.36,0.3003,2019-03-01 00:00:00,2019-01-31 00:00:00,0.5,2003-10-02 00:00:00
BMY,83750000000.0,84420000000.0,16.93,11.48,1.27,3.71,6.14,3.74,11.86,2018-12-31 00:00:00,2018-12-31 00:00:00,0.2195,0.2899,,0.389,22560000000.0,13.82,0.096,16070000000.0,7110000000.0,4950000000.0,3.03,,6830000000.0,4.18,7310000000.0,53.14,,8.36,,,0.84,-0.2211,0.027999999999999997,68.88,44.3,49.39,54.66,14420000.0,14260000.0,1630000000.0,1630000000.0,0.0016,0.7567,57530000.0,2.76,0.0352,0.0352,12690000.0,1.64,0.0319,1.61,0.0313,2.59,0.5314,2019-02-01 00:00:00,2019-01-03 00:00:00,0.951777,2001-08-07 00:00:00
BNCL,1160000000.0,789040000.0,24.77,28.75,2.69,5.68,1.09,3.85,,2018-12-31 00:00:00,2018-12-31 00:00:00,0.2334,0.3421,0.008100000000000001,0.0453,204970000.0,2.89,0.024,204970000.0,,47840000.0,0.65,,852480000.0,11.99,515000000.0,,,14.77,,,0.93,0.0446,0.027999999999999997,18.6,13.74,15.42,16.04,284380.0,155520.0,72320000.0,64470000.0,0.0941,0.7095,793490.0,2.71,0.0117,0.0106,794930.0,0.24,0.0153,0.24,0.0151,,0.3692,2019-02-21 00:00:00,2019-02-08 00:00:00,0.909173561233,2015-01-13 00:00:00
BND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNED,332450000.0,298130000.0,,14.56,0.56,0.16,0.68,0.14,2.49,2018-04-28 00:00:00,2018-10-27 00:00:00,-0.11599999999999999,0.025,0.0245,-0.4012,2110000000.0,44.98,-0.081,560510000.0,119680000.0,-245110000.0,-5.22,0.23399999999999999,20050000.0,0.42,,,1.23,10.35,97410000.0,60090000.0,1.85,-0.0415,0.027999999999999997,8.32,3.58,5.47,5.6,453600.0,391730.0,47560000.0,34240000.0,0.2075,0.7404999999999999,1660000.0,4.44,0.0568,0.0349,1330000.0,,,,,,0.0,,,,
BNFT,1850000000.0,1960000000.0,,-322.44,-4.74,6.83,,7.21,663.81,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.0813,-0.0341,-0.0335,,271720000.0,8.6,0.085,132580000.0,2950000.0,-22090000.0,-0.7,,51060000.0,1.6,130030000.0,,0.87,-1.12,5150000.0,24600000.0,1.24,1.3553,0.027999999999999997,59.92,21.75,52.78,44.09,344740.0,282870.0,31960000.0,23460000.0,0.2661,0.8868,2980000.0,9.49,0.3973,0.0934,2750000.0,,,,,,0.0,,,,
BNGO,41130000.0,30990000.0,,-3.18,,3.8,2.7,2.86,-1.8,2017-12-31 00:00:00,2018-09-30 00:00:00,-1.6621,-1.7495,,,10830000.0,4.05,0.031,3470000.0,-17240000.0,-18000000.0,-6.74,,20660000.0,2.06,9010000.0,59.13,5.19,1.52,-18660000.0,,,?%,0.027999999999999997,10.0,3.5,4.43,5.97,7270.0,2600.0,10030000.0,3770000.0,0.1555,0.2161,16770.0,3.22,0.003,0.0017,6360.0,,,,,,0.0,,,,
BNS,70060000000.0,69510000000.0,11.2,9.68,2.51,,1.5,,,2018-10-31 00:00:00,2018-10-31 00:00:00,0.3267,0.0,0.0091,0.1349,,,0.09300000000000001,26160000000.0,,,5.12,0.081,,,,,,38.35,,,1.14,-0.0748,0.027999999999999997,63.53,48.34,54.9,55.58,892740.0,867150.0,1230000000.0,1220000000.0,0.0002,0.5422,8279999.999999999,11.53,,0.0067,7420000.0,2.56,0.0452,2.47,0.0435,4.16,0.4809,2019-01-29 00:00:00,2018-12-31 00:00:00,0.5,2004-04-29 00:00:00
